id	Nome do aeroporto	Cod IATA	COD ICAO	Cidade	Pa°s	Latitude	Longetude	Altitude	Fuso hor†rio	DST	Continente/Cidade
1	Goroka Airport	GKA	AYGA	Goroka	Papua New Guinea	-6081689834590001	145391998291	5282	10	U	Pacific/Port_Moresby
2	Madang Airport	MAG	AYMD	Madang	Papua New Guinea	-520707988739	145789001465	20	10	U	Pacific/Port_Moresby
3	Mount Hagen Kagamuga Airport	HGU	AYMH	Mount Hagen	Papua New Guinea	-5826789855957031	14429600524902344	5388	10	U	Pacific/Port_Moresby
4	Nadzab Airport	LAE	AYNZ	Nadzab	Papua New Guinea	-6569803	146725977	239	10	U	Pacific/Port_Moresby
5	Port Moresby Jacksons International Airport	POM	AYPY	Port Moresby	Papua New Guinea	-9443380355834961	14722000122070312	146	10	U	Pacific/Port_Moresby
6	Wewak International Airport	WWK	AYWK	Wewak	Papua New Guinea	-358383011818	143669006348	19	10	U	Pacific/Port_Moresby
7	Narsarsuaq Airport	UAK	BGBW	Narssarssuaq	Greenland	611604995728	-454259986877	112	-3	E	America/Godthab
8	Godthaab / Nuuk Airport	GOH	BGGH	Godthaab	Greenland	6419090271	-516781005859	283	-3	E	America/Godthab
9	Kangerlussuaq Airport	SFJ	BGSF	Sondrestrom	Greenland	670122218992	-507116031647	165	-3	E	America/Godthab
10	Thule Air Base	THU	BGTL	Thule	Greenland	765311965942	-687032012939	251	-4	E	America/Thule
11	Akureyri Airport	AEY	BIAR	Akureyri	Iceland	6566000366210938	-1807270050048828	6	0	N	Atlantic/Reykjavik
12	Egilssta–ir Airport	EGS	BIEG	Egilsstadir	Iceland	652833023071289	-14401399612426758	76	0	N	Atlantic/Reykjavik
13	Hornafjîr–ur Airport	HFN	BIHN	Hofn	Iceland	64295601	-152272	24	0	N	Atlantic/Reykjavik
14	H£sav°k Airport	HZK	BIHU	Husavik	Iceland	65952301	-17426001	48	0	N	Atlantic/Reykjavik
15	÷safjîr–ur Airport	IFJ	BIIS	Isafjordur	Iceland	6605809783935547	-23135299682617188	8	0	N	Atlantic/Reykjavik
16	Keflavik International Airport	KEF	BIKF	Keflavik	Iceland	63985000610352	-22605600357056	171	0	N	Atlantic/Reykjavik
17	Patreksfjîr–ur Airport	PFJ	BIPA	Patreksfjordur	Iceland	65555801	-23965	11	0	N	Atlantic/Reykjavik
18	Reykjavik Airport	RKV	BIRK	Reykjavik	Iceland	641299972534	-219405994415	48	0	N	Atlantic/Reykjavik
19	Siglufjîr–ur Airport	SIJ	BISI	Siglufjordur	Iceland	66133301	-189167	10	0	N	Atlantic/Reykjavik
20	Vestmannaeyjar Airport	VEY	BIVM	Vestmannaeyjar	Iceland	6342430114746094	-20278900146484375	326	0	N	Atlantic/Reykjavik
21	Sault Ste Marie Airport	YAM	CYAM	Sault Sainte Marie	Canada	4648500061035156	-845093994140625	630	-5	A	America/Toronto
22	Winnipeg / St. Andrews Airport	\N	CYAV	Winnipeg	Canada	500564002991	-9703250122070001	760	-6	A	America/Winnipeg
23	Halifax / CFB Shearwater Heliport	\N	CYAW	Halifax	Canada	44639702	-63499401	144	-4	A	America/Halifax
24	St. Anthony Airport	YAY	CYAY	St. Anthony	Canada	513918991089	-56083099365200006	108	-35	A	America/St_Johns
25	Tofino / Long Beach Airport	YAZ	CYAZ	Tofino	Canada	49079833	-125775583	80	-8	A	America/Vancouver
26	Kugaaruk Airport	YBB	CYBB	Pelly Bay	Canada	68534401	-89808098	56	-7	A	America/Edmonton
27	Baie Comeau Airport	YBC	CYBC	Baie Comeau	Canada	4913249969482422	-6820439910888672	71	-5	A	America/Toronto
28	CFB Bagotville	YBG	CYBG	Bagotville	Canada	4833060073852539	-7099639892578125	522	-5	A	America/Toronto
29	Baker Lake Airport	YBK	CYBK	Baker Lake	Canada	6429889678960001	-96077796936	59	-6	A	America/Winnipeg
30	Campbell River Airport	YBL	CYBL	Campbell River	Canada	49950801849365234	-12527100372314453	346	-8	A	America/Vancouver
31	Brandon Municipal Airport	YBR	CYBR	Brandon	Canada	4991	-99951897	1343	-6	A	America/Winnipeg
32	Cambridge Bay Airport	YCB	CYCB	Cambridge Bay	Canada	691081008911	-105138000488	90	-7	A	America/Edmonton
33	Nanaimo Airport	YCD	CYCD	Nanaimo	Canada	49054970224899996	-123869862556	92	-8	A	America/Vancouver
34	Castlegar/West Kootenay Regional Airport	YCG	CYCG	Castlegar	Canada	492963981628	-117632003784	1624	-8	A	America/Vancouver
35	Miramichi Airport	YCH	CYCH	Chatham	Canada	47007801	-65449203	108	-4	A	America/Halifax
36	Charlo Airport	YCL	CYCL	Charlo	Canada	47990799	-66330299	132	-4	A	America/Halifax
37	Kugluktuk Airport	YCO	CYCO	Coppermine	Canada	67816704	-115143997	74	-7	A	America/Edmonton
38	Coronation Airport	YCT	CYCT	Coronation	Canada	520750007629	-111444999695	2595	-7	A	America/Edmonton
39	Chilliwack Airport	YCW	CYCW	Chilliwack	Canada	491528015137	-121939002991	32	-8	A	America/Vancouver
40	Clyde River Airport	YCY	CYCY	Clyde River	Canada	704860992432	-685167007446	87	-5	A	America/Toronto
41	Coral Harbour Airport	YZS	CYZS	Coral Harbour	Canada	641932983398	-833593978882	210	-5	A	America/Coral_Harbour
42	Dawson City Airport	YDA	CYDA	Dawson	Canada	6404309844970703	-1391280059814453	1215	-8	A	America/Vancouver
43	Burwash Airport	YDB	CYDB	Burwash	Canada	6137110137939453	-13904100036621094	2647	-8	A	America/Vancouver
44	Princeton Airport	\N	CYDC	Princeton	Canada	494681015015	-120511001587	2298	-8	A	America/Vancouver
45	Deer Lake Airport	YDF	CYDF	Deer Lake	Canada	4921080017089844	-5739139938354492	72	-35	A	America/St_Johns
46	Dease Lake Airport	YDL	CYDL	Dease Lake	Canada	584221992493	-130031997681	2600	-8	A	America/Vancouver
47	Dauphin Barker Airport	YDN	CYDN	Dauphin	Canada	51100799560546875	-100052001953125	999	-6	A	America/Winnipeg
48	Dawson Creek Airport	YDQ	CYDQ	Dawson Creek	Canada	557422981262207	-12018299865722656	2148	-7	A	America/Dawson_Creek
49	Edmonton International Airport	YEG	CYEG	Edmonton	Canada	53309700012200004	-113580001831	2373	-7	A	America/Edmonton
50	Arviat Airport	YEK	CYEK	Eskimo Point	Canada	610942001343	-9407080078119999	32	-6	A	America/Winnipeg
51	Estevan Airport	YEN	CYEN	Estevan	Canada	492103004456	-102966003418	1905	-6	N	America/Regina
52	Edson Airport	YET	CYET	Edson	Canada	53578899383499994	-116464996338	3043	-7	A	America/Edmonton
53	Eureka Airport	YEU	CYEU	Eureka	Canada	799946975708	-85814201355	256	-6	A	America/Winnipeg
54	Inuvik Mike Zubko Airport	YEV	CYEV	Inuvik	Canada	6830419921880001	-133483001709	224	-7	A	America/Edmonton
55	Iqaluit Airport	YFB	CYFB	Iqaluit	Canada	63756402	-68555801	110	-5	A	America/Toronto
56	Fredericton Airport	YFC	CYFC	Fredericton	Canada	45868900299072266	-6653720092773438	68	-4	A	America/Halifax
57	Forestville Airport	YFE	CYFE	Forestville	Canada	4874610137939453	-6909719848632812	293	-5	A	America/Toronto
58	Flin Flon Airport	YFO	CYFO	Flin Flon	Canada	546781005859375	-10168199920654297	997	-6	A	America/Winnipeg
59	Fort Resolution Airport	YFR	CYFR	Fort Resolution	Canada	611808013916	-113690002441	526	-7	A	America/Edmonton
60	Fort Simpson Airport	YFS	CYFS	Fort Simpson	Canada	6176020050048828	-12123699951171875	555	-7	A	America/Edmonton
61	Kingston Norman Rogers Airport	YGK	CYGK	Kingston	Canada	4422529983520508	-765969009399414	305	-5	A	America/Toronto
62	La Grande Riviäre Airport	YGL	CYGL	La Grande Riviere	Canada	53625301361083984	-777042007446289	639	-5	A	America/Toronto
63	GaspÇ (Michel-Pouliot) Airport	YGP	CYGP	Gaspe	Canada	487752990723	-644785995483	112	-5	A	America/Toronto
64	Geraldton Greenstone Regional Airport	YGQ	CYGQ	Geraldton	Canada	4977830123901367	-8693939971923828	1144	-5	A	America/Toronto
65	◊les-de-la-Madeleine Airport	YGR	CYGR	Iles De La Madeleine	Canada	4742470169067383	-61778099060058594	35	-5	A	America/Toronto
66	Hudson Bay Airport	YHB	CYHB	Hudson Bay	Canada	528166999817	-102310997009	1175	-6	N	America/Regina
67	Dryden Regional Airport	YHD	CYHD	Dryden	Canada	49831699	-92744202	1354	-6	A	America/Winnipeg
68	Ulukhaktok Holman Airport	YHI	CYHI	Holman Island	Canada	7076280212402344	-11780599975585938	117	-7	A	America/Edmonton
69	Gjoa Haven Airport	YHK	CYHK	Gjoa Haven	Canada	68635597229	-9584970092770001	152	-7	A	America/Edmonton
70	John C. Munro Hamilton International Airport	YHM	CYHM	Hamilton	Canada	43173599243199995	-7993499755859999	780	-5	A	America/Toronto
71	MontrÇal / Saint-Hubert Airport	YHU	CYHU	Montreal	Canada	455175018311	-734169006348	90	-5	A	America/Toronto
72	Hay River / Merlyn Carter Airport	YHY	CYHY	Hay River	Canada	608396987915	-115782997131	541	-7	A	America/Edmonton
73	Halifax / Stanfield International Airport	YHZ	CYHZ	Halifax	Canada	448807983398	-635085983276	477	-4	A	America/Halifax
74	Atikokan Municipal Airport	YIB	CYIB	Atikokan	Canada	487738990784	-916386032104	1408	-5	A	America/Coral_Harbour
75	Pond Inlet Airport	YIO	CYIO	Pond Inlet	Canada	726832962036	-779666976929	181	-5	A	America/Toronto
76	St Jean Airport	YJN	CYJN	St. Jean	Canada	4529439926147461	-7328109741210938	136	-5	A	America/Toronto
77	Stephenville Airport	YJT	CYJT	Stephenville	Canada	485442008972168	-5854999923706055	84	-35	A	America/St_Johns
78	Kamloops Airport	YKA	CYKA	Kamloops	Canada	507022018433	-120444000244	1133	-8	A	America/Vancouver
79	Waterloo Airport	YKF	CYKF	Waterloo	Canada	43460800170899994	-803786010742	1055	-5	A	America/Toronto
80	Schefferville Airport	YKL	CYKL	Schefferville	Canada	54805301666259766	-668052978515625	1709	-5	A	America/Toronto
81	Kindersley Airport	YKY	CYKY	Kindersley	Canada	515175018311	-109180999756	2277	-6	N	America/Regina
82	Buttonville Municipal Airport	YKZ	CYKZ	Toronto	Canada	4386220169067383	-7937000274658203	650	-5	A	America/Toronto
83	Chapleau Airport	YLD	CYLD	Chapleau	Canada	4781999969482422	-833467025756836	1470	-5	A	America/Toronto
84	Meadow Lake Airport	YLJ	CYLJ	Meadow Lake	Canada	54125301361083984	-10852300262451172	1576	-6	N	America/Regina
85	Lloydminster Airport	YLL	CYLL	Lloydminster	Canada	53309200286865234	-110072998046875	2193	-7	A	America/Edmonton
86	Alert Airport	YLT	CYLT	Alert	Canada	8251779937740001	-622806015015	100	-5	A	America/Toronto
87	Kelowna International Airport	YLW	CYLW	Kelowna	Canada	499561004639	-119377998352	1421	-8	A	America/Vancouver
88	Mayo Airport	YMA	CYMA	Mayo	Canada	6361640167236328	-1358679962158203	1653	-8	A	America/Vancouver
89	Moose Jaw Air Vice Marshal C. M. McEwen Airport	YMJ	CYMJ	Moose Jaw	Canada	50330299377441406	-10555899810791016	1892	-6	N	America/Regina
90	Fort McMurray Airport	YMM	CYMM	Fort Mcmurray	Canada	56653301239	-111222000122	1211	-7	A	America/Edmonton
91	Moosonee Airport	YMO	CYMO	Moosonee	Canada	51291099548339844	-8060780334472656	30	-5	A	America/Toronto
92	Maniwaki Airport	YMW	CYMW	Maniwaki	Canada	462728004456	-759906005859	656	-5	A	America/Toronto
93	Montreal International (Mirabel) Airport	YMX	CYMX	Montreal	Canada	45679501	-74038696	270	-5	A	America/Toronto
94	Natashquan Airport	YNA	CYNA	Natashquan	Canada	50189998626708984	-6178919982910156	39	-5	A	America/Toronto
95	Ottawa / Gatineau Airport	YND	CYND	Gatineau	Canada	45521701812699995	-755635986328	211	-5	A	America/Toronto
96	Matagami Airport	YNM	CYNM	Matagami	Canada	4976169967651367	-7780280303955078	918	-5	A	America/Toronto
97	Old Crow Airport	YOC	CYOC	Old Crow	Canada	6757060241699219	-13983900451660156	824	-8	A	America/Vancouver
98	CFB Cold Lake	YOD	CYOD	Cold Lake	Canada	54404998779296875	-11027899932861328	1775	-7	A	America/Edmonton
99	High Level Airport	YOJ	CYOJ	High Level	Canada	5862139892578125	-11716500091552734	1110	-7	A	America/Edmonton
100	Ottawa Macdonald-Cartier International Airport	YOW	CYOW	Ottawa	Canada	453224983215332	-7566919708251953	374	-5	A	America/Toronto
101	Prince Albert Glass Field	YPA	CYPA	Prince Albert	Canada	53214199066199996	-105672996521	1405	-6	N	America/Regina
102	Peace River Airport	YPE	CYPE	Peace River	Canada	56226898	-117446999	1873	-7	A	America/Edmonton
103	Southport Airport	YPG	CYPG	Portage-la-prairie	Canada	49903099	-98273817	885	-6	A	America/Winnipeg
104	Pitt Meadows Airport	\N	CYPK	Pitt Meadows	Canada	4921609878540039	-12270999908447266	11	-8	A	America/Vancouver
105	Pickle Lake Airport	YPL	CYPL	Pickle Lake	Canada	514463996887207	-9021420288085938	1267	-5	A	America/Coral_Harbour
106	Port Menier Airport	YPN	CYPN	Port Menier	Canada	4983639907836914	-642885971069336	167	-5	A	America/Toronto
107	Peterborough Airport	YPQ	CYPQ	Peterborough	Canada	4422999954223633	-7836329650878906	628	-5	A	America/Toronto
108	Prince Rupert Airport	YPR	CYPR	Prince Pupert	Canada	54286098480199996	-130445007324	116	-8	A	America/Vancouver
109	Fort Chipewyan Airport	YPY	CYPY	Fort Chipewyan	Canada	587672004699707	-11111699676513672	761	-7	A	America/Edmonton
110	Muskoka Airport	YQA	CYQA	Muskoka	Canada	44974700927734375	-7930329895019531	925	-5	A	America/Toronto
111	Quebec Jean Lesage International Airport	YQB	CYQB	Quebec	Canada	467911	-71393303	244	-5	A	America/Toronto
112	Red Deer Regional Airport	YQF	CYQF	Red Deer Industrial	Canada	5218220138549805	-11389399719238281	2968	-7	A	America/Edmonton
113	Windsor Airport	YQG	CYQG	Windsor	Canada	4227560043334961	-8295559692382812	622	-5	A	America/Toronto
114	Watson Lake Airport	YQH	CYQH	Watson Lake	Canada	6011640167236328	-12882200622558594	2255	-8	A	America/Vancouver
115	Kenora Airport	YQK	CYQK	Kenora	Canada	49788299560546875	-9436309814453125	1332	-6	A	America/Winnipeg
116	Lethbridge County Airport	YQL	CYQL	Lethbridge	Canada	496302986145	-112800003052	3048	-7	A	America/Edmonton
117	Greater Moncton International Airport	YQM	CYQM	Moncton	Canada	4611220169067383	-6467859649658203	232	-4	A	America/Halifax
119	Comox Airport	YQQ	CYQQ	Comox	Canada	4971080017089844	-12488700103759766	84	-8	A	America/Vancouver
120	Regina International Airport	YQR	CYQR	Regina	Canada	5043190002441406	-10466600036621094	1894	-6	N	America/Regina
121	Thunder Bay Airport	YQT	CYQT	Thunder Bay	Canada	4837189865112305	-8932389831542969	653	-5	A	America/Toronto
122	Grande Prairie Airport	YQU	CYQU	Grande Prairie	Canada	551796989441	-118885002136	2195	-7	A	America/Edmonton
123	Yorkton Municipal Airport	YQV	CYQV	Yorkton	Canada	5126470184326172	-10246199798583984	1635	-6	N	America/Regina
124	North Battleford Airport	YQW	CYQW	North Battleford	Canada	5276919937133789	-10824400329589844	1799	-6	N	America/Regina
125	Gander International Airport	YQX	CYQX	Gander	Canada	489369010925293	-5456809997558594	496	-35	A	America/St_Johns
126	Sydney / J.A. Douglas McCurdy Airport	YQY	CYQY	Sydney	Canada	461614	-60047798	203	-4	A	America/Halifax
127	Quesnel Airport	YQZ	CYQZ	Quesnel	Canada	53026100158691406	-12251000213623047	1789	-8	A	America/Vancouver
128	Resolute Bay Airport	YRB	CYRB	Resolute	Canada	747169036865	-949693984985	215	-6	A	America/Winnipeg
129	Riviäre-du-Loup Airport	YRI	CYRI	Riviere Du Loup	Canada	47764400482177734	-6958470153808594	427	-5	A	America/Toronto
130	Roberval Airport	YRJ	CYRJ	Roberval	Canada	4852000045776367	-722656021118164	586	-5	A	America/Toronto
131	Rocky Mountain House Airport	YRM	CYRM	Rocky Mountain House	Canada	524296989441	-114903999329	3244	-7	A	America/Edmonton
132	Rankin Inlet Airport	YRT	CYRT	Rankin Inlet	Canada	628114013672	-921157989502	94	-6	A	America/Winnipeg
133	Sudbury Airport	YSB	CYSB	Sudbury	Canada	46625	-8079889678955078	1141	-5	A	America/Toronto
134	Sherbrooke Airport	YSC	CYSC	Sherbrooke	Canada	454385986328125	-7169139862060547	792	-5	A	America/Toronto
135	Saint John Airport	YSJ	CYSJ	St. John	Canada	4531610107421875	-6589029693603516	357	-4	A	America/Halifax
136	Fort Smith Airport	YSM	CYSM	Fort Smith	Canada	60020301818847656	-11196199798583984	671	-7	A	America/Edmonton
137	Nanisivik Airport	YSR	CYSR	Nanisivik	Canada	72982201	-84613602	2106	-5	A	America/Toronto
138	Summerside Airport	YSU	CYSU	Summerside	Canada	4644060134887695	-6383359909057617	56	-4	A	America/Halifax
139	Sachs Harbour (David Nasogaluak Jr. Saaryuaq) Airport	YSY	CYSY	Sachs Harbour	Canada	719938964844	-125242996216	282	-7	A	America/Edmonton
140	Cape Dorset Airport	YTE	CYTE	Cape Dorset	Canada	642300033569	-765267028809	164	-5	A	America/Toronto
141	Thompson Airport	YTH	CYTH	Thompson	Canada	5580110168457031	-9786419677734375	729	-6	A	America/Winnipeg
142	CFB Trenton	YTR	CYTR	Trenton	Canada	44118900299072266	-775280990600586	283	-5	A	America/Toronto
143	Timmins/Victor M. Power	YTS	CYTS	Timmins	Canada	48569698333699996	-81376701355	967	-5	A	America/Toronto
144	Billy Bishop Toronto City Centre Airport	YTZ	CYTZ	Toronto	Canada	43627499	-79396202	252	-5	A	America/Toronto
145	Tuktoyaktuk Airport	YUB	CYUB	Tuktoyaktuk	Canada	6943329620361328	-1330260009765625	15	-7	A	America/Edmonton
146	Montreal / Pierre Elliott Trudeau International Airport	YUL	CYUL	Montreal	Canada	454706001282	-737407989502	118	-5	A	America/Toronto
147	Repulse Bay Airport	YUT	CYUT	Repulse Bay	Canada	665214004517	-8622470092770001	80	-6	A	America/Winnipeg
148	Hall Beach Airport	YUX	CYUX	Hall Beach	Canada	6877610015869999	-812425	30	-5	A	America/Toronto
149	Rouyn Noranda Airport	YUY	CYUY	Rouyn	Canada	4820610046386719	-7883560180664062	988	-5	A	America/Toronto
150	La Ronge Airport	YVC	CYVC	La Ronge	Canada	55151401519800004	-105262001038	1242	-6	N	America/Regina
151	Vermilion Airport	YVG	CYVG	Vermillion	Canada	53355800628699996	-110823997498	2025	-7	A	America/Edmonton
152	Qikiqtarjuaq Airport	YVM	CYVM	Broughton Island	Canada	675457992554	-6403140258789999	21	-5	A	America/Toronto
153	Val-d'Or Airport	YVO	CYVO	Val D'or	Canada	480532989502	-777827987671	1107	-5	A	America/Toronto
154	Kuujjuaq Airport	YVP	CYVP	Quujjuaq	Canada	58096099853515625	-684269027709961	129	-5	A	America/Toronto
155	Norman Wells Airport	YVQ	CYVQ	Norman Wells	Canada	6528160095214844	-1267979965209961	238	-7	A	America/Edmonton
156	Vancouver International Airport	YVR	CYVR	Vancouver	Canada	49193901062	-123183998108	14	-8	A	America/Vancouver
157	Buffalo Narrows Airport	YVT	CYVT	Buffalo Narrows	Canada	558418998718	-108417999268	1423	-6	N	America/Regina
158	Wiarton Airport	YVV	CYVV	Wiarton	Canada	447458	-81107201	729	-5	A	America/Toronto
159	Petawawa Airport	YWA	CYWA	Petawawa	Canada	4595220184326172	-7731919860839844	427	-5	A	America/Toronto
160	Winnipeg / James Armstrong Richardson International Airport	YWG	CYWG	Winnipeg	Canada	49909999847399995	-972398986816	783	-6	A	America/Winnipeg
161	Wabush Airport	YWK	CYWK	Wabush	Canada	5292190170288086	-668644027709961	1808	-4	A	America/Halifax
162	Williams Lake Airport	YWL	CYWL	Williams Lake	Canada	521831016541	-122054000854	3085	-8	A	America/Vancouver
163	Wrigley Airport	YWY	CYWY	Wrigley	Canada	6320940017700195	-12343699645996094	489	-7	A	America/Edmonton
164	Cranbrook/Canadian Rockies International Airport	YXC	CYXC	Cranbrook	Canada	49610801696777	-11578199768066	3082	-7	A	America/Edmonton
165	Edmonton City Centre (Blatchford Field) Airport	YXD	CYXD	Edmonton	Canada	535724983215	-113521003723	2202	-7	A	America/Edmonton
166	Saskatoon John G. Diefenbaker International Airport	YXE	CYXE	Saskatoon	Canada	52170799255371094	-10669999694824219	1653	-6	N	America/Regina
167	Medicine Hat Airport	YXH	CYXH	Medicine Hat	Canada	5001890182495117	-11072100067138672	2352	-7	A	America/Edmonton
168	Fort St John Airport	YXJ	CYXJ	Fort Saint John	Canada	5623809814453125	-12073999786376953	2280	-7	A	America/Dawson_Creek
169	Sioux Lookout Airport	YXL	CYXL	Sioux Lookout	Canada	5011389923095703	-919052963256836	1258	-6	A	America/Winnipeg
170	Pangnirtung Airport	YXP	CYXP	Pangnirtung	Canada	661449966431	-6571360015869999	75	-5	A	America/Toronto
171	Earlton (Timiskaming Regional) Airport	YXR	CYXR	Earlton	Canada	47697400654599996	-798473453522	800	-5	A	America/Toronto
172	Prince George Airport	YXS	CYXS	Prince George	Canada	538894004822	-122679000854	2267	-8	A	America/Vancouver
173	Northwest Regional Airport Terrace-Kitimat	YXT	CYXT	Terrace	Canada	54468498	-128576009	713	-8	A	America/Vancouver
174	London Airport	YXU	CYXU	London	Canada	43035599	-811539	912	-5	A	America/Toronto
175	Abbotsford Airport	YXX	CYXX	Abbotsford	Canada	49025299072265625	-12236100006103516	195	-8	A	America/Vancouver
176	Whitehorse / Erik Nielsen International Airport	YXY	CYXY	Whitehorse	Canada	607095985413	-135067001343	2317	-8	A	America/Vancouver
177	North Bay Jack Garland Airport	YYB	CYYB	North Bay	Canada	46363602	-79422798	1215	-5	A	America/Toronto
178	Calgary International Airport	YYC	CYYC	Calgary	Canada	51113899231	-114019996643	3557	-7	A	America/Edmonton
179	Smithers Airport	YYD	CYYD	Smithers	Canada	5482469940185547	-12718299865722656	1712	-8	A	America/Vancouver
180	Fort Nelson Airport	YYE	CYYE	Fort Nelson	Canada	588363990784	-122597000122	1253	-8	A	America/Vancouver
181	Penticton Airport	YYF	CYYF	Penticton	Canada	4946310043334961	-11960199737548828	1129	-8	A	America/Vancouver
182	Charlottetown Airport	YYG	CYYG	Charlottetown	Canada	46290000915527344	-6312110137939453	160	-4	A	America/Halifax
183	Taloyoak Airport	YYH	CYYH	Spence Bay	Canada	695466995239	-935766983032	92	-7	A	America/Edmonton
184	Victoria International Airport	YYJ	CYYJ	Victoria	Canada	48646900177	-123426002502	63	-8	A	America/Vancouver
185	Lynn Lake Airport	YYL	CYYL	Lynn Lake	Canada	5686389923095703	-10107599639892578	1170	-6	A	America/Winnipeg
186	Swift Current Airport	YYN	CYYN	Swift Current	Canada	50291900634799994	-107691001892	2680	-6	N	America/Regina
187	Churchill Airport	YYQ	CYYQ	Churchill	Canada	58739200592041016	-9406500244140625	94	-6	A	America/Winnipeg
188	Goose Bay Airport	YYR	CYYR	Goose Bay	Canada	533191986084	-604258003235	160	-4	A	America/Halifax
189	St. John's International Airport	YYT	CYYT	St. John's	Canada	47618598938	-527518997192	461	-35	A	America/St_Johns
190	Kapuskasing Airport	YYU	CYYU	Kapuskasing	Canada	4941389846801758	-8246749877929688	743	-5	A	America/Toronto
191	Armstrong Airport	YYW	CYYW	Armstrong	Canada	5029029846191406	-8890969848632812	1058	-5	A	America/Toronto
192	Mont Joli Airport	YYY	CYYY	Mont Joli	Canada	4860860061645508	-6820809936523438	172	-5	A	America/Toronto
193	Lester B. Pearson International Airport	YYZ	CYYZ	Toronto	Canada	436772003174	-7963059997559999	569	-5	A	America/Toronto
194	Downsview Airport	YZD	CYZD	Toronto	Canada	4374250030517578	-794655990600586	652	-5	A	America/Toronto
195	Gore Bay Manitoulin Airport	YZE	CYZE	Gore Bay	Canada	4588529968261719	-8256780242919922	635	-5	A	America/Toronto
196	Yellowknife Airport	YZF	CYZF	Yellowknife	Canada	62462799072265625	-11444000244140625	675	-7	A	America/Edmonton
197	Slave Lake Airport	YZH	CYZH	Slave Lake	Canada	552930984497	-114777000427	1912	-7	A	America/Edmonton
198	Sandspit Airport	YZP	CYZP	Sandspit	Canada	5325429916379999	-131813995361	21	-8	A	America/Vancouver
199	Chris Hadfield Airport	YZR	CYZR	Sarnia	Canada	429994010925293	-8230889892578125	594	-5	A	America/Toronto
200	Port Hardy Airport	YZT	CYZT	Port Hardy	Canada	50680599212646484	-12736699676513672	71	-8	A	America/Vancouver
201	Whitecourt Airport	YZU	CYZU	Whitecourt	Canada	5414390182495117	-11578700256347656	2567	-7	A	America/Edmonton
202	Sept-◊les Airport	YZV	CYZV	Sept-iles	Canada	5022330093383789	-662656021118164	180	-5	A	America/Toronto
203	Teslin Airport	YZW	CYZW	Teslin	Canada	6017279815673828	-1327429962158203	2313	-8	A	America/Vancouver
204	CFB Greenwood	YZX	CYZX	Greenwood	Canada	4498440170288086	-6491690063476562	92	-4	A	America/Halifax
205	Faro Airport	ZFA	CZFA	Faro	Canada	6220750045776367	-13337600708007812	2351	-8	A	America/Vancouver
206	Fort Mcpherson Airport	ZFM	CZFM	Fort Mcpherson	Canada	6740750122070312	-13486099243164062	116	-7	A	America/Edmonton
207	Blida Airport	QLD	DAAB	Blida	Algeria	3650360107421875	28141698837280273	535	1	N	Africa/Algiers
208	Bou Saada Airport	BUJ	DAAD	Bou Saada	Algeria	3533250045776367	4206389904022217	1506	1	N	Africa/Algiers
209	Soummam Airport	BJA	DAAE	Bejaja	Algeria	367120018005	50699200630200005	20	1	N	Africa/Algiers
210	Houari Boumediene Airport	ALG	DAAG	Algier	Algeria	36691001892089844	3215409994125366	82	1	N	Africa/Algiers
211	Djanet Inedbirene Airport	DJG	DAAJ	Djanet	Algeria	24292801	945244	3176	1	N	Africa/Algiers
212	Boufarik Airport	\N	DAAK	Boufarik	Algeria	36545799	287611	335	1	N	Africa/Algiers
213	Reggane Airport	\N	DAAN	Reggan	Algeria	267101	285647	955	1	N	Africa/Algiers
214	Illizi Takhamalt Airport	VVZ	DAAP	Illizi	Algeria	267234992981	862265014648	1778	1	N	Africa/Algiers
215	Ain Oussera Airport	\N	DAAQ	Ain Oussera	Algeria	3552539825439453	28787100315093994	2132	1	N	Africa/Algiers
216	Aguenar ? Hadj Bey Akhamok Airport	TMR	DAAT	Tamanrasset	Algeria	228115005493	545107984543	4518	1	N	Africa/Algiers
217	Jijel Ferhat Abbas Airport	GJL	DAAV	Jijel	Algeria	367951011658	587361001968	36	1	N	Africa/Algiers
218	Mecheria Airport	MZW	DAAY	Mecheria	Algeria	33535900116	-242353007197	3855	1	N	Africa/Algiers
219	Relizane Airport	\N	DAAZ	Relizane	Algeria	35752201	626272	282	1	N	Africa/Algiers
220	Rabah Bitat Airport	AAE	DABB	Annaba	Algeria	36822201	7809174	16	1	N	Africa/Algiers
221	Mohamed Boudiaf International Airport	CZL	DABC	Constantine	Algeria	362760009765625	6620389938354492	2265	1	N	Africa/Algiers
222	Cheikh Larbi TÇbessi Airport	TEE	DABS	Tebessa	Algeria	354315986633	812071990967	2661	1	N	Africa/Algiers
224	Hassi R'Mel Airport	HRM	DAFH	Tilrempt	Algeria	3293040084838867	3311539888381958	2540	1	N	Africa/Algiers
225	Bou Chekif Airport	TID	DAOB	Tiaret	Algeria	353410987854	146315002441	3245	1	N	Africa/Algiers
226	Bou Sfer Airport	\N	DAOE	Bou Sfer	Algeria	3573540115356445	-8053889870643616	187	1	N	Africa/Algiers
227	Tindouf Airport	TIN	DAOF	Tindouf	Algeria	277003993988	-8167099952700001	1453	1	N	Africa/Algiers
228	Ech Cheliff Airport	CFK	DAOI	Ech-cheliff	Algeria	362126998901	133176994324	463	1	N	Africa/Algiers
229	Tafaraoui Airport	TAF	DAOL	Oran	Algeria	3554240036010742	-5322780013084412	367	1	N	Africa/Algiers
